dataset,experiment,id_code,plate,sirna,well
train,HEPG2-01,HEPG2-01_1_B03,1,513,B03
train,HEPG2-01,HEPG2-01_1_B04,1,840,B04
train,HEPG2-01,HEPG2-01_1_B05,1,1020,B05
train,HEPG2-01,HEPG2-01_1_B06,1,254,B06
train,HEPG2-01,HEPG2-01_1_B07,1,144,B07
train,HEPG2-01,HEPG2-01_1_B08,1,503,B08
train,HEPG2-01,HEPG2-01_1_B09,1,188,B09
train,HEPG2-01,HEPG2-01_1_B10,1,700,B10
train,HEPG2-01,HEPG2-01_1_B11,1,1100,B11
train,HEPG2-01,HEPG2-01_1_B12,1,611,B12
train,HEPG2-01,HEPG2-01_1_B13,1,276,B13
train,HEPG2-01,HEPG2-01_1_B14,1,397,B14
train,HEPG2-01,HEPG2-01_1_B15,1,757,B15
train,HEPG2-01,HEPG2-01_1_B16,1,828,B16
train,HEPG2-01,HEPG2-01_1_B17,1,91,B17
train,HEPG2-01,HEPG2-01_1_B18,1,567,B18
train,HEPG2-01,HEPG2-01_1_B19,1,6,B19
train,HEPG2-01,HEPG2-01_1_B20,1,460,B20
train,HEPG2-01,HEPG2-01_1_B21,1,413,B21
train,HEPG2-01,HEPG2-01_1_B22,1,555,B22
train,HEPG2-01,HEPG2-01_1_B23,1,74,B23
train,HEPG2-01,HEPG2-01_1_C02,1,950,C02
train,HEPG2-01,HEPG2-01_1_C04,1,253,C04
train,HEPG2-01,HEPG2-01_1_C05,1,272,C05
train,HEPG2-01,HEPG2-01_1_C06,1,162,C06
train,HEPG2-01,HEPG2-01_1_C08,1,177,C08
train,HEPG2-01,HEPG2-01_1_C09,1,1023,C09
train,HEPG2-01,HEPG2-01_1_C10,1,282,C10
train,HEPG2-01,HEPG2-01_1_C12,1,762,C12
train,HEPG2-01,HEPG2-01_1_C13,1,547,C13
train,HEPG2-01,HEPG2-01_1_C14,1,750,C14
train,HEPG2-01,HEPG2-01_1_C16,1,10,C16
train,HEPG2-01,HEPG2-01_1_C17,1,212,C17
train,HEPG2-01,HEPG2-01_1_C18,1,960,C18
train,HEPG2-01,HEPG2-01_1_C20,1,870,C20
train,HEPG2-01,HEPG2-01_1_C21,1,549,C21
train,HEPG2-01,HEPG2-01_1_C23,1,655,C23
train,HEPG2-01,HEPG2-01_1_D02,1,70,D02
train,HEPG2-01,HEPG2-01_1_D03,1,350,D03
train,HEPG2-01,HEPG2-01_1_D04,1,745,D04
train,HEPG2-01,HEPG2-01_1_D05,1,1042,D05
train,HEPG2-01,HEPG2-01_1_D06,1,436,D06
train,HEPG2-01,HEPG2-01_1_D07,1,537,D07
train,HEPG2-01,HEPG2-01_1_D08,1,124,D08
train,HEPG2-01,HEPG2-01_1_D09,1,203,D09
train,HEPG2-01,HEPG2-01_1_D10,1,708,D10
train,HEPG2-01,HEPG2-01_1_D11,1,415,D11
train,HEPG2-01,HEPG2-01_1_D12,1,653,D12
train,HEPG2-01,HEPG2-01_1_D13,1,1056,D13
train,HEPG2-01,HEPG2-01_1_D14,1,456,D14
train,HEPG2-01,HEPG2-01_1_D15,1,217,D15
train,HEPG2-01,HEPG2-01_1_D16,1,681,D16
train,HEPG2-01,HEPG2-01_1_D17,1,113,D17
train,HEPG2-01,HEPG2-01_1_D18,1,791,D18
train,HEPG2-01,HEPG2-01_1_D19,1,538,D19
train,HEPG2-01,HEPG2-01_1_D20,1,290,D20
train,HEPG2-01,HEPG2-01_1_D21,1,576,D21
train,HEPG2-01,HEPG2-01_1_D22,1,1031,D22
train,HEPG2-01,HEPG2-01_1_D23,1,883,D23
train,HEPG2-01,HEPG2-01_1_E02,1,400,E02
train,HEPG2-01,HEPG2-01_1_E03,1,984,E03
train,HEPG2-01,HEPG2-01_1_E04,1,80,E04
train,HEPG2-01,HEPG2-01_1_E05,1,371,E05
train,HEPG2-01,HEPG2-01_1_E06,1,987,E06
train,HEPG2-01,HEPG2-01_1_E07,1,211,E07
train,HEPG2-01,HEPG2-01_1_E08,1,157,E08
train,HEPG2-01,HEPG2-01_1_E09,1,921,E09
train,HEPG2-01,HEPG2-01_1_E10,1,478,E10
train,HEPG2-01,HEPG2-01_1_E11,1,577,E11
train,HEPG2-01,HEPG2-01_1_E12,1,345,E12
train,HEPG2-01,HEPG2-01_1_E13,1,784,E13
train,HEPG2-01,HEPG2-01_1_E14,1,894,E14
train,HEPG2-01,HEPG2-01_1_E15,1,385,E15
train,HEPG2-01,HEPG2-01_1_E16,1,1028,E16
train,HEPG2-01,HEPG2-01_1_E17,1,8,E17
train,HEPG2-01,HEPG2-01_1_E18,1,552,E18
train,HEPG2-01,HEPG2-01_1_E19,1,695,E19
train,HEPG2-01,HEPG2-01_1_E20,1,459,E20
train,HEPG2-01,HEPG2-01_1_E21,1,581,E21
train,HEPG2-01,HEPG2-01_1_E22,1,1060,E22
train,HEPG2-01,HEPG2-01_1_E23,1,355,E23
train,HEPG2-01,HEPG2-01_1_F02,1,900,F02
train,HEPG2-01,HEPG2-01_1_F04,1,340,F04
train,HEPG2-01,HEPG2-01_1_F05,1,486,F05
train,HEPG2-01,HEPG2-01_1_F06,1,907,F06
train,HEPG2-01,HEPG2-01_1_F08,1,391,F08
train,HEPG2-01,HEPG2-01_1_F09,1,838,F09
train,HEPG2-01,HEPG2-01_1_F10,1,523,F10
train,HEPG2-01,HEPG2-01_1_F12,1,1084,F12
train,HEPG2-01,HEPG2-01_1_F13,1,1089,F13
train,HEPG2-01,HEPG2-01_1_F14,1,670,F14
train,HEPG2-01,HEPG2-01_1_F16,1,450,F16
train,HEPG2-01,HEPG2-01_1_F17,1,389,F17
train,HEPG2-01,HEPG2-01_1_F18,1,379,F18
train,HEPG2-01,HEPG2-01_1_F20,1,239,F20
train,HEPG2-01,HEPG2-01_1_F21,1,604,F21
train,HEPG2-01,HEPG2-01_1_F23,1,155,F23
train,HEPG2-01,HEPG2-01_1_G02,1,5,G02
train,HEPG2-01,HEPG2-01_1_G03,1,48,G03
train,HEPG2-01,HEPG2-01_1_G04,1,1062,G04
train,HEPG2-01,HEPG2-01_1_G05,1,884,G05
train,HEPG2-01,HEPG2-01_1_G06,1,825,G06
train,HEPG2-01,HEPG2-01_1_G07,1,798,G07
train,HEPG2-01,HEPG2-01_1_G08,1,914,G08
train,HEPG2-01,HEPG2-01_1_G09,1,1025,G09
train,HEPG2-01,HEPG2-01_1_G10,1,624,G10
train,HEPG2-01,HEPG2-01_1_G11,1,939,G11
train,HEPG2-01,HEPG2-01_1_G12,1,938,G12
train,HEPG2-01,HEPG2-01_1_G13,1,88,G13
train,HEPG2-01,HEPG2-01_1_G14,1,1096,G14
train,HEPG2-01,HEPG2-01_1_G15,1,46,G15
train,HEPG2-01,HEPG2-01_1_G16,1,417,G16
train,HEPG2-01,HEPG2-01_1_G17,1,910,G17
train,HEPG2-01,HEPG2-01_1_G18,1,268,G18
train,HEPG2-01,HEPG2-01_1_G19,1,744,G19
train,HEPG2-01,HEPG2-01_1_G20,1,1006,G20
train,HEPG2-01,HEPG2-01_1_G21,1,606,G21
train,HEPG2-01,HEPG2-01_1_G22,1,172,G22
train,HEPG2-01,HEPG2-01_1_G23,1,506,G23
train,HEPG2-01,HEPG2-01_1_H02,1,760,H02
train,HEPG2-01,HEPG2-01_1_H04,1,1013,H04
train,HEPG2-01,HEPG2-01_1_H05,1,77,H05
train,HEPG2-01,HEPG2-01_1_H06,1,1101,H06
train,HEPG2-01,HEPG2-01_1_H08,1,56,H08
train,HEPG2-01,HEPG2-01_1_H09,1,699,H09
train,HEPG2-01,HEPG2-01_1_H10,1,1065,H10
train,HEPG2-01,HEPG2-01_1_H12,1,847,H12
train,HEPG2-01,HEPG2-01_1_H13,1,348,H13
train,HEPG2-01,HEPG2-01_1_H14,1,1008,H14
train,HEPG2-01,HEPG2-01_1_H16,1,845,H16
train,HEPG2-01,HEPG2-01_1_H17,1,102,H17
train,HEPG2-01,HEPG2-01_1_H18,1,3,H18
train,HEPG2-01,HEPG2-01_1_H20,1,543,H20
train,HEPG2-01,HEPG2-01_1_H21,1,734,H21
train,HEPG2-01,HEPG2-01_1_H23,1,897,H23
train,HEPG2-01,HEPG2-01_1_I02,1,626,I02
train,HEPG2-01,HEPG2-01_1_I03,1,192,I03
train,HEPG2-01,HEPG2-01_1_I04,1,112,I04
train,HEPG2-01,HEPG2-01_1_I05,1,489,I05
train,HEPG2-01,HEPG2-01_1_I06,1,1027,I06
train,HEPG2-01,HEPG2-01_1_I07,1,195,I07
train,HEPG2-01,HEPG2-01_1_I08,1,868,I08
train,HEPG2-01,HEPG2-01_1_I09,1,59,I09
train,HEPG2-01,HEPG2-01_1_I10,1,689,I10
train,HEPG2-01,HEPG2-01_1_I11,1,126,I11
train,HEPG2-01,HEPG2-01_1_I12,1,26,I12
train,HEPG2-01,HEPG2-01_1_I13,1,1039,I13
train,HEPG2-01,HEPG2-01_1_I14,1,295,I14
train,HEPG2-01,HEPG2-01_1_I15,1,258,I15
train,HEPG2-01,HEPG2-01_1_I16,1,301,I16
train,HEPG2-01,HEPG2-01_1_I17,1,891,I17
train,HEPG2-01,HEPG2-01_1_I18,1,372,I18
train,HEPG2-01,HEPG2-01_1_I19,1,566,I19
train,HEPG2-01,HEPG2-01_1_I20,1,764,I20
train,HEPG2-01,HEPG2-01_1_I21,1,133,I21
train,HEPG2-01,HEPG2-01_1_I22,1,890,I22
train,HEPG2-01,HEPG2-01_1_I23,1,806,I23
train,HEPG2-01,HEPG2-01_1_J02,1,309,J02
train,HEPG2-01,HEPG2-01_1_J04,1,811,J04
train,HEPG2-01,HEPG2-01_1_J05,1,1106,J05
train,HEPG2-01,HEPG2-01_1_J06,1,105,J06
train,HEPG2-01,HEPG2-01_1_J08,1,810,J08
train,HEPG2-01,HEPG2-01_1_J09,1,532,J09
train,HEPG2-01,HEPG2-01_1_J10,1,1076,J10
train,HEPG2-01,HEPG2-01_1_J12,1,676,J12
train,HEPG2-01,HEPG2-01_1_J13,1,889,J13
train,HEPG2-01,HEPG2-01_1_J14,1,388,J14
train,HEPG2-01,HEPG2-01_1_J16,1,94,J16
train,HEPG2-01,HEPG2-01_1_J17,1,287,J17
train,HEPG2-01,HEPG2-01_1_J18,1,605,J18
train,HEPG2-01,HEPG2-01_1_J20,1,411,J20
train,HEPG2-01,HEPG2-01_1_J21,1,431,J21
train,HEPG2-01,HEPG2-01_1_J23,1,565,J23
train,HEPG2-01,HEPG2-01_1_K02,1,881,K02
train,HEPG2-01,HEPG2-01_1_K03,1,256,K03
train,HEPG2-01,HEPG2-01_1_K04,1,281,K04
train,HEPG2-01,HEPG2-01_1_K05,1,181,K05
train,HEPG2-01,HEPG2-01_1_K06,1,582,K06
train,HEPG2-01,HEPG2-01_1_K07,1,559,K07
train,HEPG2-01,HEPG2-01_1_K08,1,853,K08
train,HEPG2-01,HEPG2-01_1_K09,1,797,K09
train,HEPG2-01,HEPG2-01_1_K10,1,1041,K10
train,HEPG2-01,HEPG2-01_1_K11,1,224,K11
train,HEPG2-01,HEPG2-01_1_K12,1,765,K12
train,HEPG2-01,HEPG2-01_1_K13,1,481,K13
train,HEPG2-01,HEPG2-01_1_K14,1,89,K14
train,HEPG2-01,HEPG2-01_1_K15,1,366,K15
train,HEPG2-01,HEPG2-01_1_K16,1,945,K16
train,HEPG2-01,HEPG2-01_1_K17,1,242,K17
train,HEPG2-01,HEPG2-01_1_K18,1,692,K18
train,HEPG2-01,HEPG2-01_1_K19,1,399,K19
train,HEPG2-01,HEPG2-01_1_K20,1,660,K20
train,HEPG2-01,HEPG2-01_1_K21,1,541,K21
train,HEPG2-01,HEPG2-01_1_K22,1,320,K22
train,HEPG2-01,HEPG2-01_1_K23,1,398,K23
train,HEPG2-01,HEPG2-01_1_L02,1,673,L02
train,HEPG2-01,HEPG2-01_1_L03,1,508,L03
train,HEPG2-01,HEPG2-01_1_L04,1,877,L04
train,HEPG2-01,HEPG2-01_1_L05,1,222,L05
train,HEPG2-01,HEPG2-01_1_L06,1,1067,L06
train,HEPG2-01,HEPG2-01_1_L07,1,392,L07
train,HEPG2-01,HEPG2-01_1_L08,1,312,L08
train,HEPG2-01,HEPG2-01_1_L09,1,442,L09
train,HEPG2-01,HEPG2-01_1_L10,1,556,L10
train,HEPG2-01,HEPG2-01_1_L11,1,959,L11
train,HEPG2-01,HEPG2-01_1_L12,1,775,L12
train,HEPG2-01,HEPG2-01_1_L13,1,786,L13
train,HEPG2-01,HEPG2-01_1_L14,1,274,L14
train,HEPG2-01,HEPG2-01_1_L15,1,598,L15
train,HEPG2-01,HEPG2-01_1_L16,1,1104,L16
train,HEPG2-01,HEPG2-01_1_L17,1,557,L17
train,HEPG2-01,HEPG2-01_1_L18,1,742,L18
train,HEPG2-01,HEPG2-01_1_L19,1,703,L19
train,HEPG2-01,HEPG2-01_1_L20,1,1015,L20
train,HEPG2-01,HEPG2-01_1_L21,1,360,L21
train,HEPG2-01,HEPG2-01_1_L22,1,40,L22
train,HEPG2-01,HEPG2-01_1_L23,1,339,L23
train,HEPG2-01,HEPG2-01_1_M02,1,238,M02
train,HEPG2-01,HEPG2-01_1_M04,1,687,M04
train,HEPG2-01,HEPG2-01_1_M05,1,1102,M05
train,HEPG2-01,HEPG2-01_1_M06,1,346,M06
train,HEPG2-01,HEPG2-01_1_M08,1,147,M08
train,HEPG2-01,HEPG2-01_1_M09,1,613,M09
train,HEPG2-01,HEPG2-01_1_M10,1,277,M10
train,HEPG2-01,HEPG2-01_1_M12,1,704,M12
train,HEPG2-01,HEPG2-01_1_M13,1,497,M13
