id_code,experiment,plate,well,sirna,experiment_type,dataset
HEPG2-01_1_B03,HEPG2-01,1,B03,513,HEPG2,train
HEPG2-01_1_B04,HEPG2-01,1,B04,840,HEPG2,train
HEPG2-01_1_B05,HEPG2-01,1,B05,1020,HEPG2,train
HEPG2-01_1_B06,HEPG2-01,1,B06,254,HEPG2,train
HEPG2-01_1_B07,HEPG2-01,1,B07,144,HEPG2,train
HEPG2-01_1_B08,HEPG2-01,1,B08,503,HEPG2,train
HEPG2-01_1_B09,HEPG2-01,1,B09,188,HEPG2,train
HEPG2-01_1_B10,HEPG2-01,1,B10,700,HEPG2,train
HEPG2-01_1_B11,HEPG2-01,1,B11,1100,HEPG2,train
HEPG2-01_1_B12,HEPG2-01,1,B12,611,HEPG2,train
HEPG2-01_1_B13,HEPG2-01,1,B13,276,HEPG2,train
HEPG2-01_1_B14,HEPG2-01,1,B14,397,HEPG2,train
HEPG2-01_1_B15,HEPG2-01,1,B15,757,HEPG2,train
HEPG2-01_1_B16,HEPG2-01,1,B16,828,HEPG2,train
HEPG2-01_1_B17,HEPG2-01,1,B17,91,HEPG2,train
HEPG2-01_1_B18,HEPG2-01,1,B18,567,HEPG2,train
HEPG2-01_1_B19,HEPG2-01,1,B19,6,HEPG2,train
HEPG2-01_1_B20,HEPG2-01,1,B20,460,HEPG2,train
HEPG2-01_1_B21,HEPG2-01,1,B21,413,HEPG2,train
HEPG2-01_1_B22,HEPG2-01,1,B22,555,HEPG2,train
HEPG2-01_1_B23,HEPG2-01,1,B23,74,HEPG2,train
HEPG2-01_1_C02,HEPG2-01,1,C02,950,HEPG2,train
HEPG2-01_1_C04,HEPG2-01,1,C04,253,HEPG2,train
HEPG2-01_1_C05,HEPG2-01,1,C05,272,HEPG2,train
HEPG2-01_1_C06,HEPG2-01,1,C06,162,HEPG2,train
HEPG2-01_1_C08,HEPG2-01,1,C08,177,HEPG2,train
HEPG2-01_1_C09,HEPG2-01,1,C09,1023,HEPG2,train
HEPG2-01_1_C10,HEPG2-01,1,C10,282,HEPG2,train
HEPG2-01_1_C12,HEPG2-01,1,C12,762,HEPG2,train
HEPG2-01_1_C13,HEPG2-01,1,C13,547,HEPG2,train
HEPG2-01_1_C14,HEPG2-01,1,C14,750,HEPG2,train
HEPG2-01_1_C16,HEPG2-01,1,C16,10,HEPG2,train
HEPG2-01_1_C17,HEPG2-01,1,C17,212,HEPG2,train
HEPG2-01_1_C18,HEPG2-01,1,C18,960,HEPG2,train
HEPG2-01_1_C20,HEPG2-01,1,C20,870,HEPG2,train
HEPG2-01_1_C21,HEPG2-01,1,C21,549,HEPG2,train
HEPG2-01_1_C23,HEPG2-01,1,C23,655,HEPG2,train
HEPG2-01_1_D02,HEPG2-01,1,D02,70,HEPG2,train
HEPG2-01_1_D03,HEPG2-01,1,D03,350,HEPG2,train
HEPG2-01_1_D04,HEPG2-01,1,D04,745,HEPG2,train
HEPG2-01_1_D05,HEPG2-01,1,D05,1042,HEPG2,train
HEPG2-01_1_D06,HEPG2-01,1,D06,436,HEPG2,train
HEPG2-01_1_D07,HEPG2-01,1,D07,537,HEPG2,train
HEPG2-01_1_D08,HEPG2-01,1,D08,124,HEPG2,train
HEPG2-01_1_D09,HEPG2-01,1,D09,203,HEPG2,train
HEPG2-01_1_D10,HEPG2-01,1,D10,708,HEPG2,train
HEPG2-01_1_D11,HEPG2-01,1,D11,415,HEPG2,train
HEPG2-01_1_D12,HEPG2-01,1,D12,653,HEPG2,train
HEPG2-01_1_D13,HEPG2-01,1,D13,1056,HEPG2,train
HEPG2-01_1_D14,HEPG2-01,1,D14,456,HEPG2,train
HEPG2-01_1_D15,HEPG2-01,1,D15,217,HEPG2,train
HEPG2-01_1_D16,HEPG2-01,1,D16,681,HEPG2,train
HEPG2-01_1_D17,HEPG2-01,1,D17,113,HEPG2,train
HEPG2-01_1_D18,HEPG2-01,1,D18,791,HEPG2,train
HEPG2-01_1_D19,HEPG2-01,1,D19,538,HEPG2,train
HEPG2-01_1_D20,HEPG2-01,1,D20,290,HEPG2,train
HEPG2-01_1_D21,HEPG2-01,1,D21,576,HEPG2,train
HEPG2-01_1_D22,HEPG2-01,1,D22,1031,HEPG2,train
HEPG2-01_1_D23,HEPG2-01,1,D23,883,HEPG2,train
HEPG2-01_1_E02,HEPG2-01,1,E02,400,HEPG2,train
HEPG2-01_1_E03,HEPG2-01,1,E03,984,HEPG2,train
HEPG2-01_1_E04,HEPG2-01,1,E04,80,HEPG2,train
HEPG2-01_1_E05,HEPG2-01,1,E05,371,HEPG2,train
HEPG2-01_1_E06,HEPG2-01,1,E06,987,HEPG2,train
HEPG2-01_1_E07,HEPG2-01,1,E07,211,HEPG2,train
HEPG2-01_1_E08,HEPG2-01,1,E08,157,HEPG2,train
HEPG2-01_1_E09,HEPG2-01,1,E09,921,HEPG2,train
HEPG2-01_1_E10,HEPG2-01,1,E10,478,HEPG2,train
HEPG2-01_1_E11,HEPG2-01,1,E11,577,HEPG2,train
HEPG2-01_1_E12,HEPG2-01,1,E12,345,HEPG2,train
HEPG2-01_1_E13,HEPG2-01,1,E13,784,HEPG2,train
HEPG2-01_1_E14,HEPG2-01,1,E14,894,HEPG2,train
HEPG2-01_1_E15,HEPG2-01,1,E15,385,HEPG2,train
HEPG2-01_1_E16,HEPG2-01,1,E16,1028,HEPG2,train
HEPG2-01_1_E17,HEPG2-01,1,E17,8,HEPG2,train
HEPG2-01_1_E18,HEPG2-01,1,E18,552,HEPG2,train
HEPG2-01_1_E19,HEPG2-01,1,E19,695,HEPG2,train
HEPG2-01_1_E20,HEPG2-01,1,E20,459,HEPG2,train
HEPG2-01_1_E21,HEPG2-01,1,E21,581,HEPG2,train
HEPG2-01_1_E22,HEPG2-01,1,E22,1060,HEPG2,train
HEPG2-01_1_E23,HEPG2-01,1,E23,355,HEPG2,train
HEPG2-01_1_F02,HEPG2-01,1,F02,900,HEPG2,train
HEPG2-01_1_F04,HEPG2-01,1,F04,340,HEPG2,train
HEPG2-01_1_F05,HEPG2-01,1,F05,486,HEPG2,train
HEPG2-01_1_F06,HEPG2-01,1,F06,907,HEPG2,train
HEPG2-01_1_F08,HEPG2-01,1,F08,391,HEPG2,train
HEPG2-01_1_F09,HEPG2-01,1,F09,838,HEPG2,train
HEPG2-01_1_F10,HEPG2-01,1,F10,523,HEPG2,train
HEPG2-01_1_F12,HEPG2-01,1,F12,1084,HEPG2,train
HEPG2-01_1_F13,HEPG2-01,1,F13,1089,HEPG2,train
HEPG2-01_1_F14,HEPG2-01,1,F14,670,HEPG2,train
HEPG2-01_1_F16,HEPG2-01,1,F16,450,HEPG2,train
HEPG2-01_1_F17,HEPG2-01,1,F17,389,HEPG2,train
HEPG2-01_1_F18,HEPG2-01,1,F18,379,HEPG2,train
